No,step,loss
1,1,0.252906
2,2,0.270723
3,3,0.276936
4,4,0.253012
5,5,0.271768
6,6,0.269385
7,7,0.255704
8,8,0.266924
9,9,0.254632
10,10,0.261963
11,11,0.228171
12,12,0.278517
13,13,0.232293
14,14,0.272595
15,15,0.238778
16,16,0.230584
17,17,0.235035
18,18,0.228125
19,19,0.229531
20,20,0.231757
21,21,0.174659
22,22,0.174659
23,23,0.174659
24,24,0.174659
25,25,0.174659
26,26,0.174659
27,27,0.174659
28,28,0.174659
29,29,0.174659
30,30,0.174659
31,31,0.174659
32,32,0.174659
33,33,0.174659
34,34,0.174659
35,35,0.174659
36,36,0.174659
37,37,0.174659
38,38,0.174659
39,39,0.174659
40,40,0.174659
