time,step,lossError
44:37.9,0,0.062178
44:37.9,1,0.025958
44:38.0,2,0.021401
44:38.0,3,0.019913
44:38.0,4,0.019201
44:38.0,5,0.01856
44:38.0,6,0.017896
44:38.0,7,0.017243
44:38.1,8,0.016636
44:38.1,9,0.01609
44:38.1,10,0.015609
44:38.1,11,0.015191
44:38.2,12,0.014831
44:38.2,13,0.014522
44:38.2,14,0.014257
44:38.2,15,0.014031
44:38.2,16,0.013837
44:38.2,17,0.01367
44:38.2,18,0.013525
44:38.3,19,0.013398
44:38.4,20,0.006859
44:38.5,21,0.007086
44:38.5,22,0.006795
44:38.5,23,0.006382
44:38.5,24,0.006022
44:38.5,25,0.005714
44:38.5,26,0.005456
44:38.5,27,0.00523
44:38.5,28,0.005026
44:38.6,29,0.004836
44:38.6,30,0.004658
44:38.6,31,0.004491
44:38.6,32,0.004338
44:38.6,33,0.004196
44:38.6,34,0.004066
44:38.6,35,0.003948
44:38.6,36,0.00384
44:38.7,37,0.003741
44:38.7,38,0.00365
44:38.7,39,0.003566
44:38.9,40,0.022632
44:38.9,41,0.015241
44:38.9,42,0.014699
44:38.9,43,0.014087
44:38.9,44,0.013554
44:38.9,45,0.013105
44:38.9,46,0.012724
44:38.9,47,0.0124
44:39.0,48,0.012122
44:39.0,49,0.011882
44:39.0,50,0.011671
44:39.0,51,0.011483
44:39.0,52,0.011314
44:39.0,53,0.011161
44:39.0,54,0.011021
44:39.1,55,0.010892
44:39.1,56,0.010773
44:39.1,57,0.010664
44:39.1,58,0.010562
44:39.1,59,0.010467
44:39.3,60,0.03654
44:39.4,61,0.01102
44:39.4,62,0.009872
44:39.4,63,0.009113
44:39.4,64,0.008591
44:39.4,65,0.008265
44:39.4,66,0.008056
44:39.4,67,0.007913
44:39.4,68,0.007811
44:39.5,69,0.007734
44:39.5,70,0.007675
44:39.5,71,0.007627
44:39.5,72,0.007586
44:39.5,73,0.007551
44:39.5,74,0.007519
44:39.5,75,0.007489
44:39.5,76,0.00746
44:39.5,77,0.007432
44:39.6,78,0.007404
44:39.6,79,0.007376
44:39.7,80,0.046952
44:39.7,81,0.015103
44:39.8,82,0.009702
44:39.8,83,0.007366
44:39.8,84,0.006199
44:39.8,85,0.005556
44:39.8,86,0.005176
44:39.8,87,0.004933
44:39.8,88,0.004766
44:39.8,89,0.004642
44:39.9,90,0.004542
44:39.9,91,0.004459
44:39.9,92,0.004386
44:39.9,93,0.004321
44:39.9,94,0.004261
44:39.9,95,0.004205
44:39.9,96,0.004152
44:39.9,97,0.004102
44:39.9,98,0.004054
44:40.0,99,0.004009
44:40.2,100,0.033203
44:40.2,101,0.018266
44:40.2,102,0.010965
44:40.2,103,0.008225
44:40.2,104,0.007056
44:40.2,105,0.00645
44:40.2,106,0.006078
44:40.2,107,0.005824
44:40.2,108,0.005636
44:40.3,109,0.005492
44:40.3,110,0.005376
44:40.3,111,0.005281
44:40.3,112,0.0052
44:40.3,113,0.005129
44:40.3,114,0.005067
44:40.3,115,0.005011
44:40.4,116,0.00496
44:40.4,117,0.004913
44:40.4,118,0.00487
44:40.4,119,0.004831
44:40.7,120,0.063388
44:40.7,121,0.022056
44:40.7,122,0.014624
44:40.7,123,0.010701
44:40.7,124,0.008641
44:40.8,125,0.007419
44:40.8,126,0.006626
44:40.8,127,0.006094
44:40.8,128,0.005736
44:40.8,129,0.00549
44:40.8,130,0.005318
44:40.8,131,0.005193
44:40.9,132,0.005098
44:40.9,133,0.005023
44:40.9,134,0.004961
44:40.9,135,0.004909
44:40.9,136,0.004864
44:40.9,137,0.004823
44:40.9,138,0.004786
44:40.9,139,0.004752
44:41.1,140,0.063683
44:41.2,141,0.027526
44:41.2,142,0.022665
44:41.2,143,0.019335
44:41.2,144,0.017277
44:41.2,145,0.015873
44:41.2,146,0.014836
44:41.2,147,0.014034
44:41.2,148,0.013398
44:41.3,149,0.012882
44:41.3,150,0.012459
44:41.3,151,0.012109
44:41.3,152,0.011816
44:41.3,153,0.01157
44:41.3,154,0.011361
44:41.3,155,0.011183
44:41.3,156,0.01103
44:41.4,157,0.010898
44:41.4,158,0.010783
44:41.4,159,0.010683
44:41.5,160,0.027468
44:41.6,161,0.025571
44:41.6,162,0.025479
44:41.6,163,0.025106
44:41.6,164,0.024457
44:41.7,165,0.023664
44:41.7,166,0.022835
44:41.7,167,0.022044
44:41.7,168,0.021331
44:41.7,169,0.020714
44:41.7,170,0.020192
44:41.8,171,0.019757
44:41.8,172,0.019397
44:41.8,173,0.019099
44:41.8,174,0.018851
44:41.8,175,0.018643
44:41.9,176,0.018465
44:41.9,177,0.018312
44:41.9,178,0.018177
44:41.9,179,0.018058
44:42.1,180,0.033913
44:42.1,181,0.020081
44:42.1,182,0.014221
44:42.1,183,0.01134
44:42.1,184,0.00981
44:42.2,185,0.008958
44:42.2,186,0.008444
44:42.2,187,0.008108
44:42.2,188,0.007868
44:42.2,189,0.007684
44:42.2,190,0.007535
44:42.2,191,0.007408
44:42.3,192,0.007301
44:42.3,193,0.007208
44:42.3,194,0.007128
44:42.3,195,0.007058
44:42.3,196,0.006997
44:42.3,197,0.006943
44:42.3,198,0.006897
44:42.4,199,0.006856
